Source page: http://www.encyclopedia-titanica.org/titanic-victims/,
col_image,col_image/_alt,name_link,name_link/_text,name_link/_title,age_link,age_link/_text,age_link/_title,classdept_link,classdept_link/_text,classdept_link/_title,joined_link,joined_link/_text,joined_link/_title,job_link,job_link/_text,job_link/_title,boatbody_links,boatbody_links/_text,boatbody_links/_title,age_link_numbers,classdept_value,ticket_values,ticket_values_prices
"http://www.encyclopedia-titanica.org/images/000022a.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/william-alexander.html","ALEXANDER, Mr William Albert","","http://www.encyclopedia-titanica.org/titanic-ages/23.html","23","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/general-labourer.html","General Labourer","","","","","23","","3474; £7 17s 9d","7"
"","","http://www.encyclopedia-titanica.org/titanic-victim/ilmari-rudolf-alhomaki.html","ALHOMäKI, Mr Ilmari Rudolf","","http://www.encyclopedia-titanica.org/titanic-ages/19.html","19","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/general-labourer.html","General Labourer","","","","","19","","3101287; £7 18s 6d","7"
"","","http://www.encyclopedia-titanica.org/titanic-victim/ahmed-ali.html","ALI, Mr Ahmed","","http://www.encyclopedia-titanica.org/titanic-ages/24.html","24","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/general-labourer.html","General Labourer","","","","","24","","3101311; £7 1s","7"
"","","http://www.encyclopedia-titanica.org/titanic-victim/william-ali.html","ALI, Mr William","","http://www.encyclopedia-titanica.org/titanic-ages/25.html","25","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/general-labourer.html","General Labourer","","http://www.encyclopedia-titanica.org/description-of-recovered-titanic-bodies.html#79","[79]","","25","","3101312; £7 1s","7"
"http://www.encyclopedia-titanica.org/images/allaria_b.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/battista-antonio-allaria.html","ALLARIA, Sig. Battista Antonio","","http://www.encyclopedia-titanica.org/titanic-ages/22.html","22","","http://www.encyclopedia-titanica.org/titanic-restaurant-staff/","Restaurant Staff","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/waiter.html","Assistant Waiter","","http://www.encyclopedia-titanica.org/description-of-recovered-titanic-bodies.html#221","[221]","","22","","",""
"http://www.encyclopedia-titanica.org/images/allen_wh_thm.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/william-henry-allen.html","ALLEN, Mr William Henry","","http://www.encyclopedia-titanica.org/titanic-ages/38.html","38","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/tool-maker.html","Tool Maker","","","","","38","","373450; £8 1s","8"
"","","http://www.encyclopedia-titanica.org/titanic-victim/henry-allen.html","ALLEN, Mr Henry","","http://www.encyclopedia-titanica.org/titanic-ages/32.html","32","","http://www.encyclopedia-titanica.org/titanic-engineering-crew/","Engineering Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/fireman.html","Fireman","","http://www.encyclopedia-titanica.org/description-of-recovered-titanic-bodies.html#145","[145]","","32","","",""
"","","http://www.encyclopedia-titanica.org/titanic-victim/george-allen.html","ALLEN, Mr George","","http://www.encyclopedia-titanica.org/titanic-ages/26.html","26","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/scullion.html","Scullion","","","","","26","","",""
"","","http://www.encyclopedia-titanica.org/titanic-victim/robert-spencer-allan.html","ALLEN, Mr Robert Spencer","","http://www.encyclopedia-titanica.org/titanic-ages/36.html","36","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/steward.html","Bedroom Steward (1st Class)","","","","","36","","",""
"","","http://www.encyclopedia-titanica.org/titanic-victim/frederick-allen.html","ALLEN, Mr Frederick","","http://www.encyclopedia-titanica.org/titanic-ages/17.html","17","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/lift-attendant.html","Lift Steward","","","","","17","","",""
"http://www.encyclopedia-titanica.org/files/1/hudson-jc-allison-thm.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/hudson-joshua-creighton.html","ALLISON, Mr Hudson Joshua Creighton","","http://www.encyclopedia-titanica.org/titanic-ages/30.html","30","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/businessman.html","Businessman","","http://www.encyclopedia-titanica.org/description-of-recovered-titanic-bodies.html#135","[135]","","30","","113781; £151 16s","151"
"http://www.encyclopedia-titanica.org/images/allison_hjc2_thm4.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/bessie-waldo-allison.html","ALLISON, Mrs Bessie Waldo","","http://www.encyclopedia-titanica.org/titanic-ages/25.html","25","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","25","","113781; £151 16s","151"
"http://www.encyclopedia-titanica.org/images/allison_children_thm2.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/loraine-allison.html","ALLISON, Miss Helen Loraine","","http://www.encyclopedia-titanica.org/titanic-ages/2.html","2","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","2","","113781; £151 16s","151"
"http://www.encyclopedia-titanica.org/images/allsop_as_thm.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/alfred-samuel-allsop.html","ALLSOP, Mr Alfred Samuel","","http://www.encyclopedia-titanica.org/titanic-ages/35.html","35","","http://www.encyclopedia-titanica.org/titanic-engineering-crew/","Engineering Crew","","http://www.encyclopedia-titanica.org/titanic-places/belfast.html","Belfast","","http://www.encyclopedia-titanica.org/titanic-jobs/electrician.html","2nd Electrician","","","","","35","","",""
"","","http://www.encyclopedia-titanica.org/titanic-victim/frank-richard-allsop.html","ALLSOP, Mr Frank Richard","","http://www.encyclopedia-titanica.org/titanic-ages/41.html","41","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/belfast.html","Belfast","","http://www.encyclopedia-titanica.org/titanic-jobs/steward.html","Saloon Steward","","","","","41","","",""
"","","http://www.encyclopedia-titanica.org/titanic-victim/owen-george-allum.html","ALLUM, Mr Owen George","","http://www.encyclopedia-titanica.org/titanic-ages/15.html","15","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/gardener.html","Gardener","","http://www.encyclopedia-titanica.org/description-of-recovered-titanic-bodies.html#259","[259]","","15","","2223; £8 6s","8"
"","","http://www.encyclopedia-titanica.org/titanic-victim/albert-karvin-andersen.html","ANDERSEN, Mr Albert Karvin","","http://www.encyclopedia-titanica.org/titanic-ages/33.html","33","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/engineer.html","Engineer","","http://www.encyclopedia-titanica.org/description-of-recovered-titanic-bodies.html#260","[260]","","33","","4001; £22 10s 6d","22"
"","","http://www.encyclopedia-titanica.org/titanic-victim/walter-anderson.html","ANDERSON, Mr Walter Yuill","","http://www.encyclopedia-titanica.org/titanic-ages/48.html","48","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/steward.html","Bed Room Steward","","http://www.encyclopedia-titanica.org/description-of-recovered-titanic-bodies.html#146","[146]","","48","","",""
"http://www.encyclopedia-titanica.org/files/2013/201301/admin/images/johan-samuel-andersson-thm.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/johan-samuel-andersson.html","ANDERSSON, Mr Johan Samuel","","http://www.encyclopedia-titanica.org/titanic-ages/26.html","26","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/general-labourer.html","General Labourer","","","","","26","","347075; £7 15s 6d","7"
