Source page: http://www.encyclopedia-titanica.org/titanic-survivors/,
col_image,col_image/_alt,name_link,name_link/_text,name_link/_title,age_link,age_link/_text,age_link/_title,classdept_link,classdept_link/_text,classdept_link/_title,joined_link,joined_link/_text,joined_link/_title,job_link,job_link/_text,job_link/_title,boatbody_link,boatbody_link/_text,boatbody_link/_title,age_link_numbers,classdept_value,ticket_values,ticket_values_prices
"","","http://www.encyclopedia-titanica.org/titanic-survivor/carla-jensen.html","ANDERSEN-JENSEN, Miss Carla Christine Nielsine","","http://www.encyclopedia-titanica.org/titanic-ages/19.html","19","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-16/","16","","19","","350046; £7 17s 1d","7"
"http://www.encyclopedia-titanica.org/files/146979/thumbnails/harry_anderson_1919_nara_146979_5795.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/harry-anderson.html","ANDERSON, Mr Harry","","http://www.encyclopedia-titanica.org/titanic-ages/47.html","47","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/stockbroker.html","Stockbroker","","http://www.encyclopedia-titanica.org/titanic-lifeboat-3/","3","","47","","19952; £26 11s","26"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/james-anderson.html","ANDERSON, Mr James","","http://www.encyclopedia-titanica.org/titanic-ages/40.html","40","","http://www.encyclopedia-titanica.org/titanic-deck-crew/","Deck Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/seaman.html","Able Seaman","","http://www.encyclopedia-titanica.org/titanic-lifeboat-3/","3","","40","","",""
"","","http://www.encyclopedia-titanica.org/titanic-survivor/erna-andersson.html","ANDERSSON, Miss Erna Alexandra","","http://www.encyclopedia-titanica.org/titanic-ages/17.html","17","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-d/","D","","17","","3101281; £7 18s 6d","7"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/kornelia-theodosia-andrews.html","ANDREWS, Miss Kornelia Theodosia","","http://www.encyclopedia-titanica.org/titanic-ages/62.html","62","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-10/","10","","62","","13502; £77 19s 2d","77"
"http://www.encyclopedia-titanica.org/images/andrews_c.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/charles-edward-andrews.html","ANDREWS, Mr Charles Edward","","http://www.encyclopedia-titanica.org/titanic-ages/19.html","19","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/steward.html","Saloon Steward (2nd class)","","http://www.encyclopedia-titanica.org/titanic-lifeboat-16/","16","","19","","",""
"","","http://www.encyclopedia-titanica.org/titanic-survivor/florence-angle.html","ANGLE, Mrs Florence Agnes","","http://www.encyclopedia-titanica.org/titanic-ages/36.html","36","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-11/","11","","36","","226875; £26","26"
"http://www.encyclopedia-titanica.org/files/1/charlotte-apppleton.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/charlotte-appleton.html","APPLETON, Mrs Charlotte","","http://www.encyclopedia-titanica.org/titanic-ages/53.html","53","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-2/","2","","53","","11769; £51 9s 7d","51"
"http://www.encyclopedia-titanica.org/images/archer_e.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/ernest-edward-archer.html","ARCHER, Mr Ernest Edward","","http://www.encyclopedia-titanica.org/titanic-ages/35.html","35","","http://www.encyclopedia-titanica.org/titanic-deck-crew/","Deck Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/seaman.html","Able Seaman","","http://www.encyclopedia-titanica.org/titanic-lifeboat-16/","16","","35","","",""
"","","http://www.encyclopedia-titanica.org/titanic-survivor/edvin-rojj-felix-asplund.html","ASPLUND, Master Edvin Rojj Felix","","http://www.encyclopedia-titanica.org/titanic-ages/3.html","3","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-15/","15","","3","","347077; £31 7s 9d","31"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/johan-charles-asplund.html","ASPLUND, Mr Johan Charles","","http://www.encyclopedia-titanica.org/titanic-ages/23.html","23","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-13/","13","","23","","350054; £7 15s 11d","7"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/selma-augusta-emilia-asplund.html","ASPLUND, Mrs Selma Augusta Emilia","","http://www.encyclopedia-titanica.org/titanic-ages/38.html","38","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-15/","15","","38","","347077; £31 7s 9d","31"
"http://www.encyclopedia-titanica.org/images/thumb/res_1067769847_Lillian_Asplund.jpeg","","http://www.encyclopedia-titanica.org/titanic-survivor/lillian-gertrud-asplund.html","ASPLUND, Miss Lillian Gertrud","","http://www.encyclopedia-titanica.org/titanic-ages/5.html","5","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-15/","15","","5","","347077; £31 7s 9d","31"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/mariana-assaf.html","ASSAF, Mrs Mariana","","http://www.encyclopedia-titanica.org/titanic-ages/45.html","45","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-c/","C","","45","","2696; £7 4s 6d","7"
"http://www.encyclopedia-titanica.org/images/thumb/res_1057334976_MadeleineAstor1912.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/madeleine-talmage-astor.html","ASTOR, Mrs Madeleine Talmage","","http://www.encyclopedia-titanica.org/titanic-ages/18.html","18","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-4/","4","","18","","17757; £247 10s 6d","247"
"http://www.encyclopedia-titanica.org/files/1/ninette-aubart.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/leontine-pauline-aubart.html","AUBART, Mme. Léontine Pauline","","http://www.encyclopedia-titanica.org/titanic-ages/24.html","24","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","http://www.encyclopedia-titanica.org/titanic-jobs/singer.html","Singer","","http://www.encyclopedia-titanica.org/titanic-lifeboat-9/","9","","24","","17477; £69 6s","69"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/james-frank-avery.html","AVERY, Mr James Albert","","http://www.encyclopedia-titanica.org/titanic-ages/22.html","22","","http://www.encyclopedia-titanica.org/titanic-engineering-crew/","Engineering Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/trimmer.html","Trimmer","","http://www.encyclopedia-titanica.org/titanic-lifeboat-15/","15","","22","","",""
"http://www.encyclopedia-titanica.org/images/ayoub_thm.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/banoura-ayoub-daher.html","AYOUB DAHER, Miss Banoura","","http://www.encyclopedia-titanica.org/titanic-ages/15.html","15","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-c/","C","","15","","2687; £7 4s 7d","7"
"http://www.encyclopedia-titanica.org/files/1/helen-ostby.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/helen-ragnhild-ostby.html","ØSTBY, Miss Helen Ragnhild","","http://www.encyclopedia-titanica.org/titanic-ages/22.html","22","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-5/","5","","22","","113509; £61 19s 7d","61"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/velin-ohman.html","ÖHMAN, Miss Velin","","http://www.encyclopedia-titanica.org/titanic-ages/22.html","22","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-c/","C","","22","","347085; £7 15s 6d","7"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/maria-mathilda-backstrom.html","BACKSTRöM, Mrs Maria Mathilda","","http://www.encyclopedia-titanica.org/titanic-ages/33.html","33","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","33","","3101278; £15 17s","15"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/latifa-baclini.html","BACLINI, Mrs Latifa","","http://www.encyclopedia-titanica.org/titanic-ages/24.html","24","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-c/","C","","24","","2666; £19 5s 2d","19"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/marie-baclini.html","BACLINI, Miss Marie Catherine","","http://www.encyclopedia-titanica.org/titanic-ages/5.html","5","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-c/","C","","5","","2666; £19 5s 2d","19"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/eugenie-baclini.html","BACLINI, Miss Eugenie","","http://www.encyclopedia-titanica.org/titanic-ages/3.html","3","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-c/","C","","3","","2666; £19 5s 2d","19"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/helene-baclini.html","BACLINI, Miss Helene Barbara","","http://www.encyclopedia-titanica.org/children-on-titanic/","9m","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-c/","C","","9","","2666; £19 5s 2d","19"
"http://www.encyclopedia-titanica.org/images/badman_100.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/emily-badman.html","BADMAN, Miss Emily Louisa","","http://www.encyclopedia-titanica.org/titanic-ages/18.html","18","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/servant.html","Servant","","http://www.encyclopedia-titanica.org/titanic-lifeboat-c/","C","","18","","31416; £8 1s","8"
"http://www.encyclopedia-titanica.org/files/1/ellen-mardon-baggott-thm.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/allen-marden-baggott.html","BAGGOTT, Mr Allen Marden","","http://www.encyclopedia-titanica.org/titanic-ages/28.html","28","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/steward.html","Saloon Steward","","http://www.encyclopedia-titanica.org/titanic-lifeboat-9/","9","","28","","",""
"","","http://www.encyclopedia-titanica.org/titanic-survivor/joseph-henry-bailey.html","BAILEY, Mr Henry Joseph","","http://www.encyclopedia-titanica.org/titanic-ages/43.html","43","","http://www.encyclopedia-titanica.org/titanic-deck-crew/","Deck Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/seaman.html","Master-at-arms","","http://www.encyclopedia-titanica.org/titanic-lifeboat-16/","16","","43","","",""
"","","http://www.encyclopedia-titanica.org/titanic-survivor/ada-ball.html","BALL, Mrs Ada E.","","http://www.encyclopedia-titanica.org/titanic-ages/36.html","36","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-10/","10","","36","","28551; £13","13"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/percy-ball.html","BALL, Mr Percy","","http://www.encyclopedia-titanica.org/titanic-ages/19.html","19","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/plateman.html","Plate Steward","","","","","19","","",""
"","","http://www.encyclopedia-titanica.org/titanic-survivor/mara-banski.html","BANSKI, Mrs Mara","","http://www.encyclopedia-titanica.org/titanic-ages/31.html","31","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","31","","349244; £8 13s 8d","8"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/ellen-nellie-barber.html","BARBER, Miss Ellen Mary","","http://www.encyclopedia-titanica.org/titanic-ages/26.html","26","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/personal-maid.html","Personal Maid","","http://www.encyclopedia-titanica.org/titanic-lifeboat-6/","6","","26","Servant","19877; £78 17s","78"
"http://www.encyclopedia-titanica.org/images/barkworth_a_thm.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/algernon-barkworth.html","BARKWORTH, Mr Algernon Henry","","http://www.encyclopedia-titanica.org/titanic-ages/47.html","47","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/justice-of-the-peace.html","Justice of the Peace","","http://www.encyclopedia-titanica.org/titanic-lifeboat-b/","B","","47","","27042; £30","30"
"http://www.encyclopedia-titanica.org/files/1/frederick-w-barrett-thm.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/frederick-barrett.html","BARRETT, Mr Frederick","","http://www.encyclopedia-titanica.org/titanic-ages/28.html","28","","http://www.encyclopedia-titanica.org/titanic-engineering-crew/","Engineering Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/fireman.html","Leading Fireman","","http://www.encyclopedia-titanica.org/titanic-lifeboat-13/","13","","28","","",""
"","","http://www.encyclopedia-titanica.org/titanic-survivor/albina-bazzani.html","BASSANI, Mrs Albina","","http://www.encyclopedia-titanica.org/titanic-ages/32.html","32","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","http://www.encyclopedia-titanica.org/titanic-jobs/personal-maid.html","Personal Maid","","http://www.encyclopedia-titanica.org/titanic-lifeboat-8/","8","","32","Servant","11813; £76 5s 10d","76"
"http://www.encyclopedia-titanica.org/files/1/baxter-m.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/helene-baxter.html","BAXTER, Mrs Hélène","","http://www.encyclopedia-titanica.org/titanic-ages/50.html","50","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-6/","6","","50","","17558; £247 10s 5d","247"
"http://www.encyclopedia-titanica.org/images/beane.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/edward-beane.html","BEANE, Mr Edward","","http://www.encyclopedia-titanica.org/titanic-ages/32.html","32","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-13/","13","","32","","2908; £26","26"
"http://www.encyclopedia-titanica.org/images/beane.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/ethel-beane.html","BEANE, Mrs Ethel","","http://www.encyclopedia-titanica.org/titanic-ages/19.html","19","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-13/","13","","19","","2908; £26","26"
"http://www.encyclopedia-titanica.org/images/beauchamp_g.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/george-william-beauchamp.html","BEAUCHAMP, Mr George William","","http://www.encyclopedia-titanica.org/titanic-ages/24.html","24","","http://www.encyclopedia-titanica.org/titanic-engineering-crew/","Engineering Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/fireman.html","Fireman","","http://www.encyclopedia-titanica.org/titanic-lifeboat-13/","13","","24","","",""
"","","http://www.encyclopedia-titanica.org/titanic-survivor/nellie-becker.html","BECKER, Mrs Nellie E.","","http://www.encyclopedia-titanica.org/titanic-ages/35.html","35","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-11/","11","","35","","230136; £39","39"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/marion-louise-becker.html","BECKER, Miss Marion Louise","","http://www.encyclopedia-titanica.org/titanic-ages/4.html","4","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-11/","11","","4","","230136; £39","39"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/richard-becker.html","BECKER, Master Richard F.","","http://www.encyclopedia-titanica.org/titanic-ages/1.html","1","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-11/","11","","1","","230136; £39","39"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/ruth-elizabeth-becker.html","BECKER, Miss Ruth Elizabeth","","http://www.encyclopedia-titanica.org/titanic-ages/12.html","12","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-13/","13","","12","","230136; £39","39"
"http://www.encyclopedia-titanica.org/files/1/richard-beckwith.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/richard-leonard-beckwith.html","BECKWITH, Mr Richard Leonard","","http://www.encyclopedia-titanica.org/titanic-ages/37.html","37","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-5/","5","","37","","11751; £52 11s 1d","52"
